AGE,INCOME,INCPER,SPENDING
61.1666679,4333.333333,34333.33203,366.7350262
61.1666679,4166.666667,16666.66602,190.430833
61.1666679,3333.333333,110000,141.9081787
61.1666679,2499,31488,57.0132008
61.1666679,1870,11220,222.1941741
61.1666679,1473.333333,9440.5,18.2471407
61.1666679,1214.333333,15372,94.4686894
61.0833321,5315,31890,198.0341658
61.0833321,3600,21600,133.1008404
61.0833321,2000,24000,124.1774932
61.0833321,1000,53726,49.5787859
61,3033.333333,18200,732.8224823
61,2626,31512,127.4633299
61,2604.166667,31250,1
61,2083.333333,20000,55.494792
61,1250,15000,11.6574997
61,1250,7500,335.6458247
60.9166679,7083.333333,123400,682.786312
60.9166679,5166.666667,31000,6.7500001
60.8333321,5833.333333,37500,43.2786675
60.75,2500,30000,293.3550067
60.6666679,4500,27000,1357.775778
60.6666679,1916.666667,11500,207.101681
60.5833321,6500,39000,4.6666666
60.5833321,1750,21000,63.2874966
60.5,5000,11428.57129,98.2956309
60.5,2058.333333,26900,442.3090609
60.4166679,2500,15000,281.5166675
60.25,3666.666667,25000,57.0328006
60.25,2333.333333,7000,102.0208336
60.1666679,6250,150000,281.694578
60.1666679,2500,30000,5.5
60.0833321,4583.333333,30500,432.4292485
60.0833321,2083.333333,12500,83.9300066
60,3566.666667,59800,5.7257527
59.9166679,4125,16500,99.4999988
59.9166679,3500,25500,145.8559725
59.8333321,2750,19500,141.8287847
59.8333321,1333.333333,6666.666504,75.8920014
59.75,3583.333333,29000,114.6048798
59.6666679,3750,45000,59.6916676
59.6666679,3466.166667,21390,10.0468603
59.6666679,3333.333333,13333.33301,600.2483269
59.6666679,2083.333333,25000,4.6666668
59.5833321,3166.666667,13333.33301,50.7996657
59.5833321,2333.333333,28000,164.7758459
59.5833321,2083.333333,13298,71.4808314
59.5833321,2083.333333,25000,196.2679128
59.5,6000,24000,1274.424166
59.5,3833.333333,58000,35.4623001
59.5,3833.333333,46000,124.8816581
59.5,2916.666667,35000,460.0675156
59.4166679,5416.666667,32500,481.1324831
59.3333321,5833.333333,40000,435.00262
59.3333321,3500,42000,398.7124749
59.25,5666.666667,83000,310.5476672
59.25,5416.666667,32500,472.5191835
59.25,3000,36000,50.9575009
59.1666679,2666.666667,32000,7.8541668
59.1666679,2375,33500,56.9021641
59.1666679,1500,18375,97.1097909
59.0833321,4666.666667,66000,97.5382787
59.0833321,3055.416667,36137.5,243.2022851
59.0833321,1541.666667,18500,10.0724997
59,3958.333333,23750,60.0675012
59,3750,45000,143.8750047
59,3164.583333,37975,35.7899992
59,3000,67999.5,5.6354092
59,2208.333333,13250,136.9591635
59,1666.666667,40000,57.4999986
58.9166679,4833.333333,29000,69.8483316
58.9166679,4552.5,21210,10.302687
58.9166679,2966.166667,17797,42.469167
58.9166679,2166.666667,27000,6.9814814
58.9166679,2041.666667,24500,174.429159
58.8333321,5608.333333,33650,739.0349866
58.8333321,2916.666667,22500,38.2945372
58.8333321,2500,30000,506.3066632
58.8333321,2125,6375,204.4708282
58.75,7916.666667,53437.5,93.9999975
58.75,4333.333333,26000,214.0841732
58.75,3125,26500,211.9599143
58.75,2500,15000,146.0041665
58.75,1601.666667,24888,25.2831397
58.75,1333.333333,8000,32.1758315
58.6666679,2083.333333,42500,71.8431392
58.6666679,1750,10500,132.5779129
58.6666679,1500,22200,45.2033803
58.5833321,6250,18750,158.2591678
58.5833321,5000,30000,87.336665
58.5833321,4416.666667,26500,458.7008096
58.5833321,3208.333333,19250,459.1358093
58.5833321,2770.833333,33250,77.5900038
58.5833321,1333.333333,16000,212.2841676
58.5,3333.333333,40000,82.9366657
58.5,1835.916667,22031,52.2558302
58.4166679,4120,16480,205.1416552
58.4166679,2291.666667,4583.333496,1313.843243
58.3333321,5416.666667,32500,437.0208519
58.3333321,2141.666667,12850,19.515833
58.25,1416.666667,17000,647.360834
58.1666679,5200,97400,3.523614
58.1666679,2791.666667,16750,101.4258351
58.1666679,668.75,21525,523.6149419
58.0833321,3458.333333,44230,158.6712743
58.0833321,3000,22000,79.7870401
58.0833321,2083.333333,53000,180.3801085
58,5416.666667,32500,162.1349948
58,4166.666667,17333.33398,956.3837821
58,4100,59200,19.0975502
58,3750,45000,72.5383381
57.9166679,3500,22808.33398,63.8214825
57.9166679,2916.666667,15000,73.4533331
57.9166679,2500,58000,81.125861
57.8333321,3500,42000,82.6625032
57.8333321,2008.333333,12050,324.3225046
57.75,2750,42600,28.5941889
57.6666679,6666.666667,40000,3791.950941
57.6666679,2350,29600,368.9428687
57.6666679,2083.333333,25000,105.708333
57.5833321,5166.666667,62000,1710.615824
57.5833321,3416.666667,10250,286.6533343
57.5833321,3000,18000,118.8899986
57.5833321,2500,11250,89.2983377
57.5,4600,18400,34.9108322
57.5,3466.666667,20800,118.0774997
57.5,2275,22650,9.1396742
57.4166679,2600,8840,24.0541168
57.4166679,2166.666667,65805,81.672851
57.4166679,2000,25125,71.6115385
57.4166679,1666.666667,20000,138.0108297
57.3333321,3583.333333,21500,176.7558344
57.3333321,2166.666667,26000,146.149161
57.3333321,1750,10500,52.8825
57.3333321,1166.666667,16500,11.1010099
57.25,3000,41000,457.5863332
57.25,2916.666667,37000,164.3045014
57.25,2083.333333,25000,196.5516713
57.1666679,5083.333333,30500,160.3158296
57.1666679,5000,21666.66602,122.7461547
57.1666679,4583.333333,27500,337.0124816
57.1666679,2000,14500,29.1503444
57.0833321,5766.666667,14840,366.8602588
57.0833321,5116.666667,20466.66602,456.2383446
57.0833321,5083.333333,17250,0.8840579
57.0833321,4152,24912,31.7500009
57.0833321,3416.666667,39500,7.1793249
57.0833321,3333.333333,50000,0.8
57.0833321,2833.333333,34000,1
57.0833321,2500,48000,383.5786507
57.0833321,2466.666667,29600,5.4999998
57.0833321,2083.333333,28125,78.6059226
57.0833321,1300,20580,7.8328475
57,2083.333333,75000,12.8436106
56.9166679,2386.666667,34838,150.1103602
56.9166679,2340,14040,155.5158386
56.9166679,1600,9600,320.6758499
56.9166679,1250,90000,27.407778
56.8333321,2291.666667,39500,44.4409274
56.8333321,1866.666667,11200,43.8333318
56.75,3750,25240,25.0099052
56.75,2083.333333,25000,349.3300018
56.5833321,6666.666667,24500,734.3700528
56.5833321,6083.333333,18250,90.7625004
56.5833321,2333.333333,28000,100.4499967
56.5833321,2333.333333,15000,670.8037655
56.5833321,2166.666667,26000,1
56.5833321,1583.333333,29000,136.1622947
56.5833321,1250,16000,122.1890561
56.4166679,5416.666667,22500,548.0607258
56.4166679,3750,22500,292.1424899
56.4166679,3333.333333,20000,251.9316723
56.4166679,2916.666667,17916.66602,280.7933309
56.4166679,1527.583333,18331,71.2925035
56.4166679,1500,20000,4.2375001
56.4166679,1300,37200,4.1935483
56.3333321,6250,46500,2015.899867
56.3333321,5708.333333,17125,75.9250053
56.3333321,3000,18000,417.4691588
56.3333321,2500,30000,173.176676
56.3333321,2253.333333,27040,124.7533319
56.3333321,1332,12492,19.3269009
56.25,5000,12000,228.8824879
56.25,4000,48000,56.0000017
56.1666679,3333.333333,26000,73.2384622
56.1666679,3166.666667,38000,197.7166645
56.1666679,2916.666667,35000,218.5558217
56.0833321,4583.333333,45000,460.0811284
56.0833321,1958.333333,11750,212.8766691
56.0833321,1666.666667,20000,307.7875078
56,6250,29259,126.4603809
56,3333.333333,20000,197.3741626
56,2833.333333,17000,39.520001
56,1666.666667,20000,49.4699987
55.9166679,3083.333333,23500,84.5259763
55.9166679,2500,10000,330.6724876
55.9166679,1833.333333,22000,9.1666665
55.8333321,2666.666667,37000,89.9430613
55.8333321,2500,17000,79.6139706
55.8333321,2083.333333,25000,47.3399996
55.8333321,1666.666667,20000,52.7058293
55.75,2916.666667,5833.333496,88.4908329
55.6666679,3600,14400,117.4241602
55.6666679,2916.666667,15000,136.1883975
55.5833321,3583.333333,43000,125.4816633
55.5833321,3333.333333,45000,20.5888894
55.5833321,2000,12000,86.7433324
55.5833321,1375,8250,2761.999071
55.5,4041.666667,16166.66699,172.0608361
55.5,2500,22000,63.2874994
55.5,2000,12000,12
55.5,1950,25740,22.9909084
55.5,1718.75,50000,22.7497179
55.4166679,6250,37500,201.3199963
55.4166679,5000,20000,1
55.4166679,3583.333333,21500,97.4725015
55.4166679,3333.333333,20000,183.9491725
55.3333321,6250,37500,129.8541669
55.3333321,4830,14490,479.3066608
55.3333321,3583.333333,14333.33301,4.6666668
55.3333321,3083.333333,18500,160.9516678
55.3333321,2500,15000,86.8749991
55.25,5974.75,38849.66797,148.1289328
55.25,5583.333333,67000,156.5525029
55.25,4166.666667,25000,53.333332
55.25,4083.333333,16333.33301,273.4900018
55.25,3000,4500,44.7041681
55.25,2500,30000,128.5524946
55.25,2180,26160,12.1666671
55.25,1000,26775,16.2892621
55.25,100,18100,2.9889503
55.1666679,4333.333333,13000,76.5341626
55.1666679,3333.333333,33500,128.6174109
55.1666679,2333.333333,28000,147.6200099
55.1666679,2150,25800,126.504164
55.0833321,5500,22000,271.4058273
55.0833321,4166.666667,25000,10.6691664
55.0833321,3750,27700,29.3772575
55.0833321,3666.666667,11000,79.4433306
55.0833321,2816.666667,38024,24.2961942
55.0833321,2250,67000,179.6866804
55.0833321,1360,59675,69.0952948
55.0833321,1150,13025,15.7852403
55.0833321,1083.333333,14127.5,118.484579
55,3713.5,25281,84.0425245
55,1500,18000,416.9258773
54.9166679,4166.666667,20000,7.8472222
54.9166679,3137.333333,37648,1
54.9166679,2100,28800,134.389054
54.9166679,1339,16068,330.7216787
54.8333321,7083.333333,42500,777.4441938
54.8333321,4583.333333,55000,171.0441569
54.8333321,2500,30000,56.8716694
54.8333321,2083.333333,25000,62.2300004
54.8333321,1839.25,22071,187.6650114
54.75,5833.333333,42500,84.3390217
54.75,4333.333333,28200,867.4872567
54.75,4000,25000,18.2943996
54.75,3916.666667,27400,525.6309919
54.75,2833.333333,17000,215.4391718
54.75,2666.666667,40400,95.1683223
54.75,2500,18000,387.4006867
54.75,1666.666667,10000,358.4516793
54.6666679,6075,24300,647.2066132
54.6666679,5000,15000,90.9666717
54.6666679,3166.666667,34000,56.8188466
54.6666679,2416.666667,14500,34.8333322
54.6666679,1500,18000,135.444168
54.5833321,4500,33500,631.8731904
54.5833321,1800,13200,53.7245426
54.5833321,833.3333333,8943.333008,20.291962
54.5833321,50,11600,1.5172414
54.5,3583.333333,21500,632.0807983
54.5,3333.333333,17333.33398,10.8333336
54.5,3333.333333,20000,219.5375164
54.5,1083.333333,13000,5.4999999
54.4166679,7500,22500,471.223332
54.4166679,2768.166667,33218,10.1666667
54.4166679,2304,6912,76.89083
54.4166679,2260,37320,372.9260468
54.4166679,1250,15000,20.7641674
54.3333321,2733.333333,18200,8.9358973
54.25,5666.666667,68000,569.9183295
54.25,3125,19625,363.4307301
54.25,1250,7833.333496,61.6787234
54.1666679,4500,27000,51.8649998
54.1666679,3026.75,37321,93.3823037
54.1666679,2491.666667,36706,171.1277862
54.1666679,2083.333333,25000,249.7658289
54.1666679,2000,12000,1
54.1666679,1733.333333,21800,0.9541285
54.1666679,865,70380,30.9603125
54.0833321,4166.666667,54800,11.1009732
54.0833321,3966.666667,23800,762.6367008
54.0833321,3333.333333,20000,44.5574988
54.0833321,2363.75,15595,80.1734894
54.0833321,2333.333333,14000,34.9408326
54.0833321,2083.333333,12500,19.0041668
54.0833321,1458.333333,21500,74.9976692
54,4166.666667,50000,856.0233439
54,3416.666667,49000,101.8738401
54,2916.666667,16666.66602,37.8011679
54,2833.333333,17000,64.9999982
54,2166.666667,26000,126.0083281
54,1666.666667,20000,117.9041589
53.9166679,4166.666667,15500,70.0349454
53.9166679,4166.666667,16666.66602,1087.734972
53.9166679,4000,48000,5.5
53.9166679,3750,15000,304.5266401
53.9166679,3666.666667,22000,5.5
53.9166679,3081.166667,19908,289.8398463
53.9166679,1950,23400,140.5899994
53.8333321,5000,60000,76.5791675
53.8333321,2500,40000,55.2031258
53.8333321,2083.333333,17500,53.2851205
53.8333321,1833.333333,28000,43.2915455
53.75,4250,12750,75.4933357
53.75,3500,42000,31.6666667
53.75,3166.666667,38000,614.1791443
53.75,2916.666667,17500,360.624992
53.75,2541.666667,30500,22.3333329
53.75,2404.583333,33055,159.8511541
53.6666679,5000,21666.66602,171.9423011
53.6666679,3416.666667,41000,335.4641789
53.6666679,1750,10500,9.1666668
53.5833321,4583.333333,27500,59.8333314
53.5833321,2459.833333,12319.33301,237.3275351
53.5833321,2166.666667,13000,20.4525003
53.5833321,2083.333333,25000,46.3324987
53.5833321,208.3333333,22500,0.1111111
53.5,2500,40000,259.1881342
53.5,1000,15000,0.8
53.4166679,3333.333333,13333.33301,100.8883367
53.4166679,2666.666667,16000,214.1025066
53.4166679,1916.666667,23000,60.9999988
53.4166679,833.3333333,11000,37.6515153
53.3333321,4583.333333,13750,32.4366667
53.3333321,4000,24000,0.6666667
53.3333321,4000,33000,127.1775812
53.3333321,2916.666667,35000,47.8549992
53.3333321,2916.666667,17500,135.5950038
53.3333321,2833.333333,34000,129.1024952
53.3333321,2083.333333,12500,187.8833398
53.3333321,2000,33000,131.8375766
53.3333321,1833.333333,11000,52.6666663
53.25,5992.5,30636.66602,618.2420282
53.25,4000,50580,31.3167274
53.25,2800,19800,6.7878788
53.25,2500,30000,155.7708345
53.25,2083.333333,25000,417.6924936
53.25,1935,8055,82.2687278
53.25,1800,22200,14.5945949
53.1666679,2666.666667,40400,57.592079
53.1666679,2083.333333,29200,0.8561644
53.1666679,1416.666667,17000,6.75
53.0833321,4166.666667,25000,10.3333334
53.0833321,1416.666667,8500,234.3241585
53,3806.916667,45683,85.238334
53,2916.666667,35000,57.975001
53,2833.333333,17000,14.7250002
53,2500,30000,108.0066711
53,1666.666667,10000,120.3841716
53,1666.666667,10000,584.9316716
53,1541.666667,24500,27.3158162
52.9166679,4583.333333,130000,92.8371811
52.9166679,1833.333333,22000,36.3458339
52.8333321,4216.666667,10120,395.9325069
52.8333321,3458.333333,55900,221.9507629
52.8333321,3250,16750,77.4256717
52.8333321,1850.333333,11102,221.9016657
52.8333321,1500,68000,22.3052208
52.8333321,1333.333333,8000,136.1458302
52.75,7083.333333,18500,746.2908265
52.75,3333.333333,40000,219.2341785
52.75,2916.666667,17500,27.4008326
52.75,2750,16500,333.8875119
52.75,2166.666667,26000,70.277504
52.75,2041.666667,8166.666504,60.3425011
52.75,1500,18000,189.7499934
52.6666679,4333.333333,10400,132.6133187
52.6666679,4166.666667,25000,249.8333342
52.6666679,3333.333333,10000,45.6008315
52.6666679,2500,15000,25.558332
52.6666679,2500,15000,98.9325065
52.5833321,4250,51000,57.6158334
52.5833321,4000,48000,278.9641619
52.5833321,3216.666667,12866.66699,317.2199895
52.5833321,2500,42000,562.0124936
52.5833321,2083.333333,8750,3.9285713
52.5833321,1500,9000,356.8849862
52.5,4466.666667,53600,449.9750311
52.5,3500,21000,178.4866713
52.5,2833.333333,48245,445.1442982
52.5,2416.666667,18500,119.9293745
52.5,2125,9166.666992,107.8047277
52.5,1000,11000,22.6931814
52.4166679,3750,45000,406.084992
52.4166679,2333.333333,13250,261.8616273
52.4166679,2000,12000,138.5691762
52.4166679,1575,18900,37.6791656
52.4166679,1400,16800,38.4083338
52.4166679,1208.333333,18500,117.903937
52.3333321,4166.666667,26250,55.2841268
52.3333321,3416.666667,41000,122.4016733
52.3333321,2773.333333,16640,79.9349999
52.3333321,2666.666667,16000,245.4608281
52.25,6250,18750,454.883324
52.25,4541.666667,21500,423.6016056
52.25,3633.333333,21800,267.6408393
52.25,2666.666667,35600,430.6891362
52.25,2400,20400,201.0635197
52.25,1983.333333,32200,87.2666662
52.25,1708.333333,20500,102.1533295
52.25,1562,18744,86.2283343
52.1666679,4166.666667,25000,85.4074955
52.1666679,2583.333333,31000,83.5816696
52.1666679,2500,10250,923.0878204
52.1666679,2083.333333,6650,92.9628732
52.1666679,1291.666667,15500,89.9266684
52.0833321,2000,34900,6.3037248
52.0833321,1791.666667,15750,41.0826296
52.0833321,1666.666667,20000,82.8241619
52.0833321,1050,18600,66.8387085
52,7166.666667,43000,2072.714965
52,5000,30000,119.8891643
52,4166.666667,33333.33203,158.7237542
52,3750,45000,42.4483325
52,3250,51500,138.1369876
52,1856,22272,326.9474983
51.9166679,3500,67000,330.51024
51.9166679,3325.25,49518,149.4683679
51.9166679,2333.333333,14000,5.4999997
51.9166679,2166.666667,68000,5.862745
51.9166679,1818.333333,6747,77.7784183
51.9166679,1650,9900,13.1141662
51.8333321,7500,57500,165.2608719
51.8333321,5000,60000,67.6150015
51.8333321,4458.333333,10700,672.2391583
51.8333321,4166.666667,37500,93.4033344
51.8333321,3750,29500,312.9857965
51.8333321,3350,20100,477.2091635
51.8333321,3000,18000,212.8949985
51.8333321,2800,41100,212.4327868
51.8333321,2660.833333,10643.33301,108.0424963
51.8333321,2250,13500,23.7758341
51.8333321,1278.333333,15340,277.4674897
51.75,3750,23500,87.1180859
51.75,3333.333333,20000,9.1666666
51.75,3166.666667,19000,47.8708328
51.75,2880,23616,62.3676842
51.75,2390.333333,14342,132.5216679
51.75,2083.333333,48000,72.4210093
51.75,1700,16700,6.1052393
51.6666679,4916.666667,66000,153.3113555
51.6666679,4666.666667,18666.66602,147.5000034
51.6666679,4583.333333,37500,566.291005
51.6666679,2500,30000,180.265829
51.6666679,2083.333333,25000,40.4116659
51.6666679,2000,9500,63.134037
51.6666679,1800,21600,85.147503
51.5833321,6666.666667,37766.66797,376.8431644
51.5833321,3458.333333,47500,79.6836407
51.5833321,2583.333333,31000,116.7825013
51.5833321,1876.833333,22522,9.1666663
51.5833321,1339.583333,25481,12.5804444
51.5,4583.333333,27500,216.9124999
51.5,3840.5,15362,156.083329
51.5,3350.583333,41207,31.5568096
51.5,2916.666667,25000,123.869086
51.5,2500,30000,215.0116675
51.5,1666.666667,21200,118.4213782
51.4166679,4166.666667,12500,124.6991645
51.4166679,3833.333333,15333.33301,142.2975014
51.4166679,3726,44604,160.7127734
51.4166679,2587.5,11550,375.7005254
51.3333321,5166.666667,36000,18.1550928
51.3333321,4000,17100,163.9220268
51.3333321,3750,9060,45.5504959
51.3333321,3166.666667,38000,167.3249975
51.3333321,3041.666667,30250,323.2949811
51.3333321,2500,30000,291.7500027
51.25,4750,19000,399.5033503
51.25,4441.666667,35150,16.9326692
51.25,4166.666667,16666.66602,99.0816625
51.25,4166.666667,50000,102.0483362
51.25,3333.333333,20000,62.4916703
51.25,3333.333333,17800,161.4864295
51.25,3041.666667,26500,132.1357425
51.25,2500,30000,1
51.25,2291.666667,5500,92.0708377
51.25,2283.333333,13700,69.7799976
51.25,1666.666667,20000,103.7616655
51.1666679,3250,20100,505.6652166
51.1666679,3220,20520,233.8030909
51.1666679,3166.666667,38000,254.4450065
51.1666679,2833.333333,65250,30.6829366
51.1666679,1900,22800,34.2774997
51.1666679,1600,19200,150.8050084
51.0833321,7500,32666.66602,233.6479537
51.0833321,6250,52500,865.5440994
51.0833321,4000,53500,15.5999996
51.0833321,3583.333333,14333.33301,230.9224841
51.0833321,2500,15000,87.7508335
51.0833321,2375,14250,207.999994
51.0833321,2291.666667,27500,22.7500002
51.0833321,2041.666667,8166.666504,60.5225
51.0833321,1950,23400,41.1658332
51.0833321,1666.666667,26900,6.8153658
51.0833321,1375,16500,286.8900113
51,5266.666667,23066.66602,428.6571831
51,3000,36000,44.4750013
50.9166679,4583.333333,55000,88.8333299
50.9166679,4583.333333,9166.666992,113.2241652
50.9166679,3840.5,11521.5,163.0725021
50.9166679,2066.666667,8266.666992,327.2758335
50.9166679,1833.333333,22000,17.2499993
50.9166679,1720.666667,20648,196.196665
50.9166679,1458.333333,17500,310.841656
50.9166679,1416.666667,5666.666504,176.0833325
50.8333321,5833.333333,70000,367.0725164
50.8333321,4750,28500,15.8333337
50.8333321,4583.333333,18333.33398,257.6474876
50.8333321,3750,93000,376.4701635
50.8333321,3333.333333,40000,142.0500005
50.8333321,2500,10000,388.6575252
50.8333321,2500,15000,549.5475233
50.8333321,2083.333333,15000,68.5805532
50.8333321,1825,30660,51.8452395
50.8333321,1500,9000,6.7499997
50.8333321,1416.666667,45750,3.406193
50.75,4583.333333,31250,238.2284682
50.75,4000,24000,1754.997611
50.75,3916.666667,37500,44.8134569
50.75,2500,30000,11.5833338
50.75,2210,26520,862.1858144
50.75,1416.666667,15000,37.4472228
50.6666679,3500,21000,291.4758436
50.6666679,3250,9750,147.7091648
50.6666679,2669.333333,32032,327.6799957
50.6666679,1635,23220,46.0933391
50.6666679,1600,19200,165.0466681
50.5833321,4166.666667,25000,456.5266582
50.5833321,4000,24000,499.2758334
50.5833321,3750,15000,194.1108517
50.5833321,3000,18000,122.0399961
50.5833321,2600,15600,343.1658655
50.5833321,2500,30000,83.1158366
50.5833321,2500,40000,118.3493715
50.5,3333.333333,26500,106.1320802
50.5,3333.333333,13333.33301,240.7133331
50.5,2983.333333,17900,44.250001
50.5,2375,28500,274.2275
50.5,2250,13500,114.5949997
50.5,1906.666667,18940,6.188613
50.4166679,7083.333333,50000,842.8373126
50.4166679,3000,21000,842.8607583
50.4166679,2341.666667,55600,534.4803498
50.3333321,7166.666667,21500,55.0833327
50.3333321,5750,23666.66602,238.5213375
50.3333321,5483.333333,21933.33398,103.8633409
50.3333321,5000,60000,520.8425224
50.3333321,4991.666667,29950,105.1216604
50.3333321,4166.666667,50000,97.0641694
50.3333321,3750,15000,49.6516668
50.3333321,3250,39000,5.4999999
50.3333321,2833.333333,34000,170.198335
50.3333321,2416.666667,32600,405.4403094
50.3333321,2250,39000,152.1698143
50.3333321,1750,21000,206.8649884
50.3333321,1166.666667,44000,16.1694701
50.25,5833.333333,23333.33398,40.6600011
50.25,3958.333333,11600,212.2253637
50.25,3000,56100,107.8946516
50.25,2602.5,31230,294.3766626
50.25,2500,40000,146.5718728
50.25,2000,28320,927.8912544
