date,transactions,vehicle,,,,
10/1/14,"6,038,161",Passenger,,,,
10/1/14,"647,073",Commercial,,,,
10/1/14,"22,570",Non Revenue,,,,
11/1/14,"5,067,604",Passenger,,,,
11/1/14,"540,187",Commercial,,,,
11/1/14,"22,896",Non Revenue,,,,
12/1/14,"5,158,687",Passenger,,,,
12/1/14,"569,025",Commercial,,,,
12/1/14,"26,626",Non Revenue,,,,
1/1/15,"4,406,963",Passenger,,,,
1/1/15,"524,252",Commercial,,,,
1/1/15,"35,017",Non Revenue,,,,
2/1/15,"4,137,276",Passenger,,,,
2/1/15,"497,868",Commercial,,,,
2/1/15,"36,289",Non Revenue,,,,
3/1/15,"5,187,747",Passenger,,,,
3/1/15,"580,027",Commercial,,,,
3/1/15,"25,104",Non Revenue,,,,
4/1/15,"5,370,426",Passenger,,,,
4/1/15,"607,406",Commercial,,,,
4/1/15,"22,969",Non Revenue,,,,
5/1/15,"6,193,398",Passenger,,,,
5/1/15,"637,951",Commercial,,,,
5/1/15,"21,910",Non Revenue,,,,
6/1/15,"6,546,622",Passenger,,,,
6/1/15,"671,709",Commercial,,,,
6/1/15,"20,700",Non Revenue,,,,
7/1/15,"7,923,391",Passenger,,,,
7/1/15,"691,024",Commercial,,,,
7/1/15,"21,528",Non Revenue,,,,
8/1/15,"8,044,105",Passenger,,,,
8/1/15,"669,282",Commercial,,,,
8/1/15,"21,590",Non Revenue,,,,
9/1/15,"6,603,824",Passenger,,,,
9/1/15,"659,311",Commercial,,,,
9/1/15,"20,702",Non Revenue,,,,
10/1/15,"6,400,597",Passenger,,,,
10/1/15,"666,958",Commercial,,,,
10/1/15,"20,927",Non Revenue,,,,
11/1/15,"5,508,944",Passenger,,,,
11/1/15,"585,101",Commercial,,,,
11/1/15,"19,727",Non Revenue,,,,
12/1/15,"5,514,023",Passenger,,,,
12/1/15,"595,523",Commercial,,,,
12/1/15,"25,249",Non Revenue,,,,
1/1/16,"4,959,045",Passenger,,,,
1/1/16,"549,598",Commercial,,,,
1/1/16,"25,430",Non Revenue,,,,
2/1/16,"4,857,391",Passenger,,,,
2/1/16,"541,324",Commercial,,,,
2/1/16,"27,012",Non Revenue,,,,
3/1/16,"5,489,678",Passenger,,,,
3/1/16,"616,557",Commercial,,,,
3/1/16,"25,904",Non Revenue,,,,
4/1/16,"5,593,476",Passenger,,,,
4/1/16,"610,639",Commercial,,,,
4/1/16,"22,195",Non Revenue,,,,
5/1/16,"6,380,023",Passenger,,,,
5/1/16,"662,937",Commercial,,,,
5/1/16,"21,670",Non Revenue,,,,
6/1/16,"6,964,629",Passenger,,,,
6/1/16,"698,050",Commercial,,,,
6/1/16,"23,085",Non Revenue,,,,
7/1/16,"8,194,657",Passenger,,,,
7/1/16,"659,530",Commercial,,,,
7/1/16,"20,665",Non Revenue,,,,
8/1/16,"8,422,237",Passenger,,,,
8/1/16,"721,156",Commercial,,,,
8/1/16,"22,332",Non Revenue,,,,
9/1/16,"6,963,760",Passenger,,,,
9/1/16,"681,287",Commercial,,,,
9/1/16,"20,635",Non Revenue,,,,
10/1/16,"6,575,273",Passenger,,,,
10/1/16,"662,795",Commercial,,,,
10/1/16,"21,465",Non Revenue,,,,
11/1/16,"5,762,595",Passenger,,,,
11/1/16,"618,884",Commercial,,,,
11/1/16,"21,266",Non Revenue,,,,
12/1/16,"5,538,741",Passenger,,,,
12/1/16,"605,462",Commercial,,,,
12/1/16,"34,323",Non Revenue,,,,
1/1/17,"5,246,169",Passenger,,,,
1/1/17,"596,847",Commercial,,,,
1/1/17,"30,485",Non Revenue,,,,
2/1/17,"4,612,505",Passenger,,,,
2/1/17,"518,800",Commercial,,,,
2/1/17,"36,356",Non Revenue,,,,
3/1/17,"5,611,200",Passenger,,,,
3/1/17,"616,637",Commercial,,,,
3/1/17,"30,655",Non Revenue,,,,
4/1/17,"5,750,504",Passenger,,,,
4/1/17,"612,612",Commercial,,,,
4/1/17,"23,778",Non Revenue,,,,
5/1/17,"6,686,813",Passenger,,,,
5/1/17,"708,008",Commercial,,,,
5/1/17,"22,780",Non Revenue,,,,
6/1/17,"7,224,006",Passenger,,,,
6/1/17,"717,848",Commercial,,,,
6/1/17,"22,777",Non Revenue,,,,
7/1/17,"8,355,762",Passenger,,,,
7/1/17,"678,414",Commercial,,,,
7/1/17,"21,329",Non Revenue,,,,
8/1/17,"8,647,586",Passenger,,,,
8/1/17,"740,545",Commercial,,,,
8/1/17,"23,799",Non Revenue,,,,
9/1/17,"7,155,965",Passenger,,,,
9/1/17,"676,662",Commercial,,,,
9/1/17,"21,140",Non Revenue,,,,
10/1/17,"6,896,299",Passenger,,,,
10/1/17,"688,972",Commercial,,,,
10/1/17,"21,791",Non Revenue,,,,
11/1/17,"6,102,262",Passenger,,,,
11/1/17,"650,362",Commercial,,,,
11/1/17,"21,591",Non Revenue,,,,
12/1/17,"5,697,567",Passenger,,,,
12/1/17,"604,102",Commercial,,,,
12/1/17,"36,744",Non Revenue,,,,
1/1/18,"5,234,832",Passenger,,,,
1/1/18,"606,249",Commercial,,,,
1/1/18,"32,467",Non Revenue,,,,
2/1/18,"5,074,534",Passenger,,,,
2/1/18,"552,474",Commercial,,,,
2/1/18,"30,477",Non Revenue,,,,
3/1/18,"5,689,733",Passenger,,,,
3/1/18,"609,972",Commercial,,,,
3/1/18,"32,194",Non Revenue,,,,
4/1/18,"5,975,818",Passenger,,,,
4/1/18,"647,802",Commercial,,,,
4/1/18,"24,583",Non Revenue,,,,
5/1/18,"6,961,390",Passenger,,,,
5/1/18,"742,720",Commercial,,,,
5/1/18,"24,443",Non Revenue,,,,
6/1/18,"7,433,515",Passenger,,,,
6/1/18,"719,584",Commercial,,,,
6/1/18,"22,740",Non Revenue,,,,
7/1/18,"8,559,207",Passenger,,,,
7/1/18,"713,540",Commercial,,,,
7/1/18,"21,969",Non Revenue,,,,
8/1/18,"8,932,354",Passenger,,,,
8/1/18,"756,196",Commercial,,,,
8/1/18,"23,172",Non Revenue,,,,
9/1/18,"7,226,475",Passenger,,,,
9/1/18,"672,171",Commercial,,,,
9/1/18,"20,944",Non Revenue,,,,
10/1/18,"7,067,098",Passenger,,,,
10/1/18,"717,641",Commercial,,,,
10/1/18,"22,054",Non Revenue,,,,
11/1/18,"5,966,282",Passenger,,,,
11/1/18,"628,357",Commercial,,,,
11/1/18,"27,599",Non Revenue,,,,
12/1/18,"6,054,311",Passenger,,,,
12/1/18,"615,441",Commercial,,,,
12/1/18,"25,207",Non Revenue,,,,
1/1/19,"5,423,195",Passenger,,,,
1/1/19,"625,879",Commercial,,,,
1/1/19,"36,989",Non Revenue,,,,
2/1/19,"5,187,379",Passenger,,,,
2/1/19,"552,493",Commercial,,,,
2/1/19,"30,882",Non Revenue,,,,
3/1/19,"6,056,375",Passenger,,,,
3/1/19,"633,777",Commercial,,,,
3/1/19,"29,254",Non Revenue,,,,
4/1/19,"6,146,328",Passenger,,,,
4/1/19,"688,583",Commercial,,,,
4/1/19,"25,569",Non Revenue,,,,
5/1/19,"7,112,272",Passenger,,,,
5/1/19,"742,735",Commercial,,,,
5/1/19,"25,402",Non Revenue,,,,
6/1/19,"7,492,435",Passenger,,,,
6/1/19,"708,401",Commercial,,,,
6/1/19,"22,952",Non Revenue,,,,
7/1/19,"8,713,744",Passenger,,,,
7/1/19,"753,506",Commercial,,,,
7/1/19,"22,654",Non Revenue,,,,
8/1/19,"9,027,855",Passenger,,,,
8/1/19,"762,663",Commercial,,,,
8/1/19,"22,710",Non Revenue,,,,
9/1/19,"7,311,971",Passenger,,,,
9/1/19,"697,269",Commercial,,,,
9/1/19,"22,667",Non Revenue,,,,
10/1/19,"7,272,410",Passenger,,,,
10/1/19,"756,442",Commercial,,,,
10/1/19,"23,663",Non Revenue,,,,
11/1/19,"6,139,788",Passenger,,,,
11/1/19,"645,083",Commercial,,,,
11/1/19,"21,866",Non Revenue,,,,
12/1/19,"5,898,118",Passenger,,,,
12/1/19,"612,115",Commercial,,,,
12/1/19,"35,406",Non Revenue,,,,
1/1/20,"6,371,702",,,,,
2/1/20,"6,045,846",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
