fiscal_year,fund,category,code,tax,July,August,September,October,November,December,January,February,March,April,May,June,
1994,General Fund,Individual Income Tax,0408,Refunds,-2511722.71,-2533710.74,-1981129.94,-1052452.92,-2798917.95,-1011935.66,-2919214.16,-22933253.22,-41062965.78,-24267321.99,-18652891.76,-5425443.69,
1994,General Fund,Individual Income Tax,0409,Tran LGF,-2384567.48,-2500880.18,-3633791.81,-2488113.13,-2109127.10,-2520449.14,-4971249.70,-1060108.06,-812246.42,-4265354.40,-1452530.63,-3003991.60,
1994,General Fund,Corporate Income Tax,0415,Payments,6268914.42,1271934.04,12330241.73,3157328.40,2226650.37,11311908.35,497455.78,2209486.57,10982562.40,13681398.46,1358037.15,34736429.28,
1994,General Fund,Corporate Income Tax,0417,Estimate,0.00,-1150.00,0.00,0.00,0.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,
1994,General Fund,Corporate Income Tax,0418,Refunds,-674102.46,-201277.33,-474168.87,-104991.44,-1159198.16,-219757.66,-3873010.55,-622538.00,-250970.96,-415827.11,-80103.49,-484674.75,
1994,General Fund,Corporate Income Tax,0420,Tran LGF,-285335.40,-54544.84,-604659.72,-155669.18,-54440.06,-565694.59,172153.29,-80934.38,-547311.16,-676544.14,-65174.62,-1746839.48,
1994,General Fund,Cigarette & Tobacco Tax,0511,Cig Tx,4051424.09,4242112.32,4433986.29,3007622.66,4266214.15,3143088.81,4147792.45,3042254.09,3921497.38,3668364.61,3877819.93,4330216.17,
1994,General Fund,Cigarette & Tobacco Tax,0512,Tob Tx,159415.11,302944.89,197827.75,224141.30,276170.84,191696.23,234144.25,234144.45,228157.73,154954.70,178456.80,160324.47,
1994,General Fund,Cigarette & Tobacco Tax,0513,Drug Tx,0.00,9827.00,0.00,0.00,0.00,0.00,663317.56,0.00,16694.73,0.00,0.00,-1118486.37,
1994,General Fund,Sales & Use Tax,0621,Sales Tx,55351049.51,55626952.51,54375187.77,47123541.62,46139205.66,49093869.10,49622480.60,36277986.74,39220105.66,40928740.07,41867854.48,40473507.76,
1994,General Fund,Sales & Use Tax,0623,Use Tax,4070352.20,3587364.79,5738107.85,6862155.96,4487205.13,4413053.55,4299192.54,2968904.41,4556629.04,4276170.37,5948989.69,6533019.87,
1994,General Fund,Sales & Use Tax,0625,Spec Tx Ref,68893.21,112626.17,36006.62,46270.59,93473.13,58050.41,119561.01,142809.09,121479.80,86370.86,128245.98,23538.36,
1994,General Fund,Sales & Use Tax,0631,Sale Abat,-16842.65,-4921.71,9422.59,21097.95,0.00,-1831.20,-3838.74,-221939.27,-277842.05,-39783.01,-59300.42,-261865.62,
1994,General Fund,Sales & Use Tax,0633,Use Abat,-34367.03,-3180.00,6179.04,4336.01,0.00,-60.00,-11542.54,-14541.69,-15977.11,-25339.57,311598.71,-15385.73,
1994,General Fund,Sales & Use Tax,0634,Int Abat,-4180.24,-1020.99,2314.57,783.61,0.00,0.00,0.00,0.00,0.00,0.00,22150.00,0.00,
1994,General Fund,Sales & Use Tax,0650,Tran LGF,-3031180.16,-3025208.86,-3068528.14,-2756967.47,-2586714.08,-2731717.17,-2755318.50,-1996814.18,-2223824.16,-2306534.09,-2459196.46,-2384393.55,
1994,General Fund,Gross Receipts Tax,0660,Gross Rec,0.00,5929968.56,7130163.59,6091458.42,5200000.00,4300000.00,5333185.14,3433967.71,5690952.25,4466763.63,4780497.05,6335745.61,
1994,General Fund,Business & Special Industry Tax,0801,Rail Tx,0.00,0.00,-150000.00,541101.03,0.00,0.00,33486.92,0.00,0.00,0.00,0.00,537769.00,
1994,General Fund,Business & Special Industry Tax,0822,Tele Prop ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25964951.26,2887.27,
1994,General Fund,Business & Special Industry Tax,0901,Insur Prem ,1183612.81,1828.78,188891.29,2678649.89,3722096.41,42588.05,160022.56,480070.97,6518446.99,3916422.45,6514651.88,10770352.97,
1994,General Fund,Business & Special Industry Tax,1415,Tob Prod Li,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,
1994,General Fund,Business & Special Industry Tax,1416,Cig Dist Li,174.18,25.82,50.00,50.00,25.00,100.00,0.00,0.00,0.00,0.00,0.00,75.00,
1994,General Fund,Business & Special Industry Tax,1418,Cig Who Li,20.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,-15.00,0.00,0.00,10.00,
1994,General Fund,Business & Special Industry Tax,1903,Mahog Qua,8326.65,-8326.65,0.00,1744.20,-1744.20,0.00,163.40,0.00,0.00,0.00,0.00,2202.08,
1994,General Fund,Business & Special Industry Tax,1940,Fertil Tx,296.52,3790.50,3866.40,129.72,0.00,0.00,-0.36,0.00,0.00,0.00,0.00,0.00,
1994,General Fund,Business & Special Industry Tax,2654,Recycle ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,
1994,Highway Fund,Special Fuel Tax,0311,Spec Fu ,2063198.36,3475004.38,2155692.23,2370839.34,3391480.03,2181593.13,2550889.36,3169195.23,2586483.19,2506968.97,2920823.08,2086186.61,
1994,Highway Fund,Special Fuel Tax,0325,Off-H Ref,-339235.19,-1079499.96,-568444.70,-326978.46,-769963.86,-565297.36,-612237.41,-730986.75,-1375672.18,-261890.08,-580450.86,-1163274.92,
1994,Highway Fund,Special Fuel Tax,0326,Spec Int,1869.42,5489.50,7894.10,4889.15,5393.32,9015.25,25033.01,7321.66,10214.83,5757.30,4410.14,9798.39,
1994,Highway Fund,Gasoline Tax,0321,Gas Tax,10024051.73,11281889.33,11456697.84,9618569.45,9846192.41,9563808.96,9191206.71,5910192.04,11617200.09,8878951.33,8456349.39,10311496.47,
1994,Highway Fund,Gasoline Tax,0322,Gas Tx Ref,-33511.79,-56134.31,-33183.92,-17618.30,-50694.45,-38079.90,-174342.26,-109426.10,-113549.95,-70037.41,-62901.98,-34975.41,
1994,Highway Fund,Gasoline Tax,0323,Motor Car,0.00,0.00,-3014.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1994,Highway Fund,Gasoline Tax,0333,Shrinkage,0.00,-42094.35,-104801.55,-54219.45,-4383.49,-757.48,-14672.82,-8021.27,-261492.67,-50473.61,-6235.91,-240.00,
1994,Highway Fund,Other Tax,0332,Refunds,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-104.73,-609.58,-45.87,0.00,
1994,Highway Fund,Other Tax,0401,Payments,0.00,0.00,0.00,0.00,0.00,-480.00,-2725.00,0.00,0.00,0.00,0.00,0.00,
1994,Highway Fund,Other Tax,0402,Withhold,0.00,0.00,0.00,0.00,0.00,-345.00,-3460.00,0.00,0.00,0.00,0.00,0.00,
1994,Highway Fund,Other Tax,0621,Sales Tx,0.00,0.00,0.00,0.00,0.00,-3620.00,-1242.26,0.00,0.00,0.00,0.00,0.00,
1994,Highway Fund,Other Tax,0623,Use Tax,0.00,1572.78,26888.67,-26888.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1994,Highway Fund,Other Tax,1992,Amnesty S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.00,0.00,0.00,0.00,0.00,
1994,Other Special Revenue,Property Tax,0106,Re Est Tx ,14746969.99,26828.78,-25908.58,43006.11,-12571.14,23263.43,-40647.06,-3706.64,68443.36,49702.94,44242.12,14686.20,
1994,Other Special Revenue,Property Tax,0108,Trans GF,0.00,0.00,0.00,-7671845.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-804895.00,
1994,Other Special Revenue,Property Tax,0110,Spru Bud,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1994,Other Special Revenue,Property Tax,0161,Prop Int,818.24,457.63,1974.49,1266.07,3472.86,3305.79,53687.23,12065.04,17113.17,6119.82,1292.84,1041.31,
1994,Other Special Revenue,Property Tax,0170,Re Est Tr,166666.67,166666.67,166666.67,166666.67,166666.67,166666.67,166666.67,166666.67,166666.66,166666.66,166666.66,166666.66,
1994,Other Special Revenue,Property Tax,0181,Per Prop,161835.60,1729.13,-866.99,-551.09,-5857.35,86821.37,2116.42,-158.30,0.00,-1092.53,-13449.85,6921.80,
1994,Other Special Revenue,Property Tax,0182,Auto Ex,69081.07,39537.24,58075.61,22357.56,43259.18,35356.11,41144.89,43631.08,75160.26,42733.67,59904.35,62389.51,
1994,Other Special Revenue,Property Tax,0183,Boat Ex,5864.27,2506.47,2139.60,82.80,348.70,0.00,141.50,743.70,559.40,332.60,2455.24,5347.82,
1994,Other Special Revenue,Other Tax,0321,Gas Tax,251366.17,282388.95,287649.55,241409.63,243751.45,235760.93,210045.51,122834.46,273485.55,211156.95,-140814.74,46634.91,
1994,Other Special Revenue,Other Tax,0409,Tran LGF,3017914.36,2384567.48,2500880.18,3633791.81,2488113.13,2109127.10,2520449.14,4971249.70,1060108.06,812246.42,4265354.40,1452530.63,
1994,Other Special Revenue,Other Tax,0420,Tran LGF,484575.20,285335.40,54544.84,604659.72,155669.18,54440.06,565694.59,-172153.29,80934.38,547311.16,676544.14,65174.62,
1994,Other Special Revenue,Other Tax,0621,Sale Tx,17.72,15.36,23.78,8.70,6.73,3.98,9.11,25.77,25.24,13.74,-125.14,25.52,
1994,Other Special Revenue,Other Tax,0650,Tran LGF,2768589.93,3031180.16,3025208.86,3068528.14,2756967.47,2586714.08,2731717.17,2755318.50,1996814.18,2223824.16,2306534.09,2459196.46,
1994,Other Special Revenue,Other Tax,0651,Trans Tour,0.00,0.00,0.00,0.00,0.00,0.00,147608.00,199191.00,0.00,0.00,87450.00,0.00,
1994,Other Special Revenue,Other Tax,0801,Rail Fr GF,0.00,0.00,150000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1994,Other Special Revenue,Other Tax,0906,Fir Inv Tx,90501.20,129.00,281819.17,121142.25,12024.25,98680.19,295062.57,9815.52,511308.36,65038.59,3759.50,420564.35,
1994,Other Special Revenue,Other Tax,1412,Dairy Farm,67520.26,227411.07,156570.05,404234.63,203458.53,176809.41,0.00,250445.29,65840.05,84169.52,165706.51,63275.10,
1994,Other Special Revenue,Other Tax,1419,Blueberry,0.00,0.00,64.39,10625.47,722786.49,0.00,230.86,0.00,0.00,0.00,0.00,0.00,
1994,Other Special Revenue,Other Tax,1901,Potato Tx,74907.75,17349.31,14097.40,48624.31,79905.58,55223.22,52235.89,121500.90,107395.04,91882.39,102959.92,90134.05,
1994,Other Special Revenue,Other Tax,1902,Sardine Tx,19628.25,34425.85,40277.35,44954.10,41122.90,21022.05,6626.05,25567.95,12835.55,10471.45,15243.45,29651.00,
1994,Other Special Revenue,Other Tax,1903,Mahog Quah ,0.00,11383.05,4239.60,0.00,2289.00,15.00,0.00,1027.08,36.00,127.20,352.80,518.32,
1994,Other Special Revenue,Other Tax,1913,Hospital,8000000.00,15239072.00,0.00,9669459.00,9924905.00,7883425.00,7900324.69,8422623.00,8227373.00,8189591.00,8446264.00,34831522.00,
1994,Other Special Revenue,Other Tax,1994,Amnesty O,0.00,0.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1994,Other Special Revenue,Other Tax,2654,Recycle ,205510.68,288669.53,249417.30,278963.43,218000.00,218000.00,212085.10,137772.07,204466.98,169272.03,194907.15,221985.97,
1995,General Fund,Property Tax,0108,Fr UTESF,0.00,0.00,0.00,7629066.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1938497.00,
1995,General Fund,Property Tax,0161,Prop Int,51.71,151.03,1102.83,1034.25,0.00,0.00,0.00,0.00,-147.22,81.24,0.00,0.00,
1995,General Fund,Property Tax,0170,Rel Est Tra,506875.84,582315.48,1054228.84,749084.33,711478.58,576562.55,899049.10,410100.48,295856.71,436911.66,380669.74,655102.95,
1995,General Fund,Property Tax,0175,Comm For ex ,0.00,0.00,0.00,0.00,-10651.62,0.00,0.00,0.00,3165845.69,0.00,11984.92,-42780.87,
1995,General Fund,Estate Tax,0211,Estate Tx,863229.46,1103421.05,1242865.79,351775.61,2170152.03,480648.08,6497740.96,494299.40,569133.86,1296913.87,-17013.39,-2793.66,
1995,General Fund,Estate Tax,0212,Estate TX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,995048.13,902861.51,
1995,General Fund,Estate Tax,0221,Inherit Tx,1970.14,0.00,0.00,3817.60,11072.02,8802.97,2963.83,-49.17,354.59,0.00,-187.50,-3197.57,
1995,General Fund,Estate Tax,0241,Int-Pen,10885.83,14137.65,5603.39,5024.93,30512.25,9573.05,13502.04,12271.64,10276.44,34439.93,683.63,3647.36,
1995,General Fund,Motor Fuel Tax,0311,Spec Fuel,0.00,0.00,-563.71,0.00,0.00,-43.00,0.00,0.00,-177.80,-484.91,-489.69,-586.19,
1995,General Fund,Motor Fuel Tax,0321,Gas Tax,0.00,4717.62,12399.79,4030.23,4836.30,5469.99,4048.20,4420.40,5660.14,4851.18,335284.07,4566.08,
1995,General Fund,Motor Fuel Tax,0322,Gas Refund,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1984.53,0.00,0.00,-350.72,
1995,General Fund,Motor Fuel Tax,0331,Aero. Gas,70206.74,95784.15,0.00,35958.79,77513.89,61152.38,35958.79,45921.03,69267.82,43112.13,35308.80,43921.46,
1995,General Fund,Motor Fuel Tax,0332,Refunds,0.00,-737.14,-563.71,-1192.59,-6947.65,-527.65,-14435.97,-260.69,-6794.46,-917.60,-728.06,-2586.26,
1995,General Fund,Individual Income Tax,0401,Payments,510646.66,4676976.86,1515249.94,2692851.53,1186321.54,1347920.00,1079303.33,2665529.52,5799898.47,60537348.42,4010153.09,-2403107.90,
1995,General Fund,Individual Income Tax,0402,Withhold,37282287.00,52934230.21,46942612.95,46869227.23,48188657.65,46487841.87,58796293.79,43763994.23,45481318.14,43813212.80,46661609.59,41704315.34,
1995,General Fund,Individual Income Tax,0403,Estimate,1387944.33,1628908.16,26011039.48,1756072.81,1029594.21,14074992.89,30512328.12,790105.46,1159741.12,17736440.13,1037633.03,22453891.28,
1995,General Fund,Individual Income Tax,0404,Fiduciary,-87752.60,42123.88,288346.87,226178.86,63968.15,177779.22,664859.86,36067.04,67008.16,1188758.21,154467.76,38879.22,
1995,General Fund,Individual Income Tax,0406,Int-Pen,164562.52,212310.55,330525.49,324554.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,General Fund,Individual Income Tax,0408,Refunds,-3886451.15,-1573953.36,-1690982.31,-1430872.34,-1911269.69,-664403.21,-5034962.32,-35973549.57,-35404936.47,-23259547.81,-13902158.83,-3814117.93,
1995,General Fund,Individual Income Tax,0409,Tran LGF,-1803933.08,-2953950.41,-3743236.41,-2572338.62,-2476420.86,-3132630.67,-4386908.96,-575389.48,-872254.50,-5100826.80,-1936046.94,-2956972.86,
1995,General Fund,Corporate Income Tax,0415,Payments,1876847.42,2881413.49,17327994.66,1718537.06,3530747.30,12352857.36,2377518.53,4783155.66,9631235.74,14194760.76,4981901.31,11867673.68,
1995,General Fund,Corporate Income Tax,0417,Estimate,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,General Fund,Corporate Income Tax,0418,Refunds,-187673.13,-476329.29,-105542.34,-2883588.94,-818791.72,-1771625.70,-1949021.62,-3004667.94,-5386466.60,-872700.96,-1714076.70,-1811423.42,
1995,General Fund,Corporate Income Tax,0420,Tran LGF,-86147.89,-122659.29,-878345.07,59417.65,-138309.73,-539642.81,-21853.34,-90702.87,-216483.22,-679425.05,-166659.06,-257868.77,
1995,General Fund,Cigarette & Tobacco Tax,0511,Cig Tx,3480586.32,5250897.94,3617955.72,4095803.17,3374080.83,4401013.05,3343371.40,2881033.31,3172058.19,3594732.28,4070183.40,5047832.95,
1995,General Fund,Cigarette & Tobacco Tax,0512,Tob Tx,180497.05,268081.73,113475.38,219567.68,211858.11,223733.97,179400.81,157642.68,189616.66,184912.70,187351.61,186060.28,
1995,General Fund,Cigarette & Tobacco Tax,0513,Drug Tx,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-26595.52,-15683.28,0.00,
1995,General Fund,Sales & Use Tax,0621,Sales Tx,45269992.47,64986951.32,61675316.94,48844319.47,48851516.09,48986232.29,51398347.92,40916803.99,39866763.42,44085736.85,44760103.85,43904075.95,
1995,General Fund,Sales & Use Tax,0623,Use Tax,5423374.64,5738125.60,4070475.10,5768436.72,5509224.18,5282327.79,5796845.13,4010799.65,5024466.27,5300217.91,5435800.69,6866518.69,
1995,General Fund,Sales & Use Tax,0625,Spec Tx Ref,38241.43,91556.18,54749.11,49267.33,99541.24,49393.14,112785.55,162142.99,108064.40,112905.34,211841.35,32490.94,
1995,General Fund,Sales & Use Tax,0631,Sale Abat,-42362.25,-128445.82,-14486.80,-52143.16,-181457.55,-270088.84,-127192.67,-249237.62,-84832.50,-158952.40,-165513.13,-262117.31,
1995,General Fund,Sales & Use Tax,0633,Use Abat,-16747.22,-9600.11,-26797.74,-34002.35,-30305.15,-12296.62,-2419.49,-86198.42,-25913.20,-11948.25,-11915.05,-34750.03,
1995,General Fund,Sales & Use Tax,0634,Int Abat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,General Fund,Sales & Use Tax,0650,Tran LGF,-2584297.45,-3604607.95,-3353722.09,-2783369.78,-2766674.46,-2755813.96,-2916096.69,-2282469.84,-2289315.97,-2515725.94,-2561746.21,-2575817.13,
1995,General Fund,Gross Receipts Tax,0660,Gross Rec,5022918.05,5018474.08,7508223.03,9514141.07,5957337.58,4938513.98,6928757.58,2251360.80,5556945.20,4696389.04,5106024.14,5764323.71,
1995,General Fund,Business & Special Industry Tax,0801,Rail Tx,0.00,0.00,0.00,42675.82,0.00,-150000.00,0.00,0.00,0.00,0.00,509994.28,0.00,
1995,General Fund,Business & Special Industry Tax,0822,Tele Prop ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256149.09,0.00,0.00,27175713.07,72745.89,
1995,General Fund,Business & Special Industry Tax,0901,Insur Prem ,968549.02,355790.58,15335.60,3715763.56,2771372.89,9398.61,31831.38,1131282.62,5783468.68,5919059.01,4787109.52,9897893.06,
1995,General Fund,Business & Special Industry Tax,1412,ME Dairy Fa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1137392.05,317542.83,
1995,General Fund,Business & Special Industry Tax,1415,Tob Prod Li,75.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,-25.00,0.00,0.00,
1995,General Fund,Business & Special Industry Tax,1416,Cig Dist Li,425.00,275.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,
1995,General Fund,Business & Special Industry Tax,1418,Cig Who Li,40.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,
1995,General Fund,Business & Special Industry Tax,1903,Mahog Qua,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5736.86,4639.80,
1995,General Fund,Business & Special Industry Tax,1940,Fertil Tx,638.80,1542.21,6112.08,183.56,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,
1995,General Fund,Business & Special Industry Tax,2654,Recycle ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,Highway Fund,Special Fuel Tax,0311,Spec Fu ,2387219.29,3460573.03,3048474.81,2695848.52,2815945.78,2887558.78,3015285.82,3324381.36,2576647.50,2616217.39,3084487.53,2363974.33,
1995,Highway Fund,Special Fuel Tax,0325,Off-H Ref,-126934.02,-403539.45,-1052501.47,-418751.99,-481632.90,-1174428.56,-496710.22,-642875.52,-1443689.05,-330668.56,-986646.22,-855313.46,
1995,Highway Fund,Special Fuel Tax,0326,Spec Int,5586.23,7964.85,6102.85,19435.91,5443.31,8377.42,15593.08,6691.27,9935.97,8348.52,5514.43,9938.03,
1995,Highway Fund,Gasoline Tax,0321,Gas Tax,9435230.59,12476724.72,11470226.16,7791468.93,9433485.14,10671688.40,7876295.05,8599215.95,11173619.66,8556926.24,9319675.43,10260626.92,
1995,Highway Fund,Gasoline Tax,0322,Gas Tx Ref,-11535.90,-51363.11,-26410.45,-24904.22,-24976.11,-179997.24,-83370.17,-117648.18,-176801.08,-88617.19,-106177.96,-48573.25,
1995,Highway Fund,Gasoline Tax,0323,Motor Car,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,Highway Fund,Gasoline Tax,0333,Shrinkage,-340.16,-84578.63,-69173.79,-66223.76,-1523.33,-22022.68,39653.00,-54736.88,-135375.60,-73816.07,-4568.22,-329.41,
1995,Highway Fund,Other Tax,0312,Use Fuel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2804.40,-1152.08,-1434.71,-2.00,-850.49,
1995,Highway Fund,Other Tax,0328,Carrier,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-48.84,0.00,0.00,0.00,
1995,Highway Fund,Other Tax,0332,Refunds,0.00,-563.71,0.00,0.00,0.00,0.00,0.00,-49.78,0.00,0.00,0.00,-662.48,
1995,Highway Fund,Other Tax,0401,Payments,0.00,0.00,-1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,Highway Fund,Other Tax,0402,Withhold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,Highway Fund,Other Tax,0621,Sales Tx,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,Highway Fund,Other Tax,0623,Use Tax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328.50,0.00,
1995,Other Special Revenue,Property Tax,0106,Re Est Tx ,-534.81,13611138.16,1180.17,10650.85,5230.85,-1420.64,8943.30,-2522.60,28019.35,-5192.35,47797.89,33343.56,
1995,Other Special Revenue,Property Tax,0108,Trans GF,0.00,0.00,0.00,-7629066.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1938497.00,
1995,Other Special Revenue,Property Tax,0110,Spru Bud,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,Other Special Revenue,Property Tax,0161,Prop Int,1414.67,631.39,1366.97,684.13,5099.57,2331.80,3671.85,7595.30,24450.82,3863.80,26669.43,962.86,
1995,Other Special Revenue,Property Tax,0170,Re Est Tr,166666.66,166666.66,166666.66,166666.66,166666.66,166666.66,166666.66,166666.66,166666.66,166666.66,166666.66,166666.66,
1995,Other Special Revenue,Property Tax,0181,Per Prop,-1658.18,160383.62,-9003.50,0.00,4410.90,-1142.59,90198.97,-157.42,468.23,-1024.92,16447.44,6918.83,
1995,Other Special Revenue,Property Tax,0182,Auto Ex,59214.14,25108.67,27978.55,53443.66,87014.77,28999.87,31170.65,34694.06,81150.44,55609.60,64903.38,37069.85,
1995,Other Special Revenue,Property Tax,0183,Boat Ex,4445.40,2947.90,1289.40,1191.70,240.60,0.00,0.00,362.50,601.70,479.10,2534.60,2650.80,
1995,Other Special Revenue,Other Tax,0321,Gas Tax,0.00,228325.71,607189.75,196682.18,234286.34,262812.07,180113.66,191239.67,223083.82,224981.34,201804.85,26238.16,
1995,Other Special Revenue,Other Tax,0409,Tran LGF,3003991.60,1976985.41,2780898.08,3743236.41,2572338.62,2476420.86,3132630.67,4386908.96,575389.48,872254.50,5100826.80,1936046.94,
1995,Other Special Revenue,Other Tax,0420,Tran LGF,1746839.48,95136.50,113670.68,878345.07,-59417.65,138309.73,539642.81,21853.34,90702.87,216483.22,679425.05,166659.06,
1995,Other Special Revenue,Other Tax,0621,Sale Tx,-43.68,12.77,32.67,-46.87,9.25,20.15,-88.76,34.95,64.38,-79.78,34.97,32.96,
1995,Other Special Revenue,Other Tax,0650,Tran LGF,2384393.55,2832924.89,3355980.51,3353722.09,2783369.78,2766674.46,2755813.96,2916096.69,2282469.84,2289315.97,2515725.94,2561746.21,
1995,Other Special Revenue,Other Tax,0651,Trans Tour,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300000.00,970736.00,
1995,Other Special Revenue,Other Tax,0801,Rail Fr GF,0.00,0.00,0.00,0.00,0.00,150000.00,0.00,0.00,0.00,0.00,0.00,0.00,
1995,Other Special Revenue,Other Tax,0906,Fir Inv Tx,9622.87,29240.54,331575.98,67321.82,179.50,326814.18,112184.76,17196.51,635673.99,68006.07,1879.47,433594.88,
1995,Other Special Revenue,Other Tax,1412,Dairy Farm,75843.90,467174.89,128068.89,293.84,0.00,102735.07,-102581.47,0.00,386631.92,462587.15,-849219.07,0.00,
